INOVA_ID_CUSTOMER_NAME
"AP.CENDANA, APT"
"MAHAYANI, APT"
"AP.GAMA TITAN ARUM, APT"
"GAMA PCI, APT"
"AP.GAMA 1, APT"
"AP.GAMA PAGEBANGAN, APT"
"AP.GAMA 2, APT"
"GAMA CIBEBER, AP"
"HENDRO FARMA, AP"
"SEGER, APT"
PT.FAJAR AGUNG PHARINDO
"PRIMA HUSADA, AP"
DUTA FARMA AP
"ROYAL FARMA, APT"
"MUKTI JAYA, APT"
"AFINA FARMA, APT"
"CIGADING MEDIKA, AP"
"CENTRAL FARMA CILEGON, AP"
"FATIMAH, AP"
"GHANI MEDIKA, AP"
"CENTRAL FARMA CILEGON,TO"
ISNA MEDIKAKLINIK & AP
"ANNISA SEHAT,KL & AP"
KLINIK INSAN PRIMA
"KURNIA (RSIA), RS"
BINTANG SWALAYAN TK
SARINANDE TK
"BARU, TK"
MEGA TOP
"LISTAR,TK"
"BUMEN JAYA,TK"
"RIDHO KOSMETIK,TK"
"WALET MAS, TK"
WATSON SUPERMAL CILEGON
MM Q
ASRI MART
ELSA MART
DINAS KESEHATAN KOTA CILEGON
"GAMA, APT"
"BONA MEDIKA, AP"
"KIMIA FARMA PAGEBANGAN,AP"
"KIMIA FARMA PCI (KF 268),AP"
"K-24 AMALIA CILEGON, APT"
"ANNISA SEHAT, APT"
"APOTIK FATIMAH, AP"
"MANJUR, AP"
"BARU JAYA,TO"
"KIMIA FARMA 140 TIRTAYASA,AP"
"KIMIA FARMA CILEGON BARU,AP"
"ANGGREK,AP"
"TONGGAK HUSADA, AP"
"APOTIK HENDRO FARMA, AP"
"KIMIA FARMA MERAK, AP - CLG"
"SEHAT, APT"
"KRAKATAU MEDIKA, PT"
"KENCANA,AP"
"CITRA, APT"
"LABORA FARMA, APT"
"GEREM MEDICA , AP"
"MUTIARA BUNDA, RS"
"ALFINA, AP"
"GUMELAR, APT"
"RAMANUJU, AP."
"BERSAMA, APT"
"MEUTIA FARMA, AP"
"GRIYA SEHAT, AP"
"TIGA FARMA, APT"
"LANATA, AP"
"DUTA INTIDAYA, PT TBK (CILEGON)"
"APOTIK MUKTI JAYA, AP"
"KIMIA FARMA CIBEBER, AP"
"DUTA MEDIKA, APT"
"APOTEK INTAN FARMA, AP"
"APOTEK HERBANA, AP"
"APOTEK NURUL FARMA, AP"
"BARU, APT"
RIDO COSMETIK
UBAY COSMETIK
TOKO RONI
TOKO KELUARGA
"FIT MEDIKA, AP"
"NABILA, APT"
RS CITRA SUNDARI
KLINIK ALVA MEDIKA
"APOTEK ANANDA, AP"
"ERKA FARMA, AP"
"APOTEK TEGAL CABE, AP"
"HERMINA CILEGON, RS"
"APOTEK ANANDA GROGOL, AP"
"YUK SEHAT, AP"
"BICARE, AP"
"KANDAKA ABADI, APT"
"CITANGKIL FARMA, AP"
"DUTA MEDIKA METRO, AP"
"YA FARMA, AP"
DISKON SUPERMARKET
"MEIDIKA , KL"
"K-24 PCI, AP"
"PT KIMIA FARMA APOTEK (KF 268), APT"
"PT KIMIA FARMA APOTEK (KF 140), APT"
"FATIMAH, RS"
"MISI, RS"
"AP.A-LIVE MEDIKA, APT"
"AP.DEKA FARMA, APT"
"BANTEN FARMA, AP"
"PRIMA,AP"
"HIMMAH HUSADA KARYA UTAMA,AP"
"ELIA FARMA,AP"
"HAPPY, TO"
"SUNLIE, TK"
"UTAMA, TO"
"PRATAMA, TO"
LAUTAN
"PUTRA SEGAR 2 COSMETIK,TC"
"DEZZY KOSMETIK, TC"
"IKRAM, RB"
"JAYA BARU, TK"
"KARYA BARU, TK"
LANGGANAN ANDA TK
"NOVAL, TK"
"BUDIANTO, TK"
"BINTANG TERANG,TK"
"METRO,TK"
"SUMBER BARU,TK"
TOKO SUSU MAMI TIAN
"SENANG,TK (RANGKAS)"
"LESTARI MUARA,TK"
"YONGKI METRO, TK"
AUTO SUKSES PERKASA PT
BEE BEE MART
"QUDWAH MART,MM"
"SEHAT, AP"
"SEHAT RABINZA, APT"
KIMIA FARMA RANGKASBITUNG.AP
KLINIK FATIA MEDIKA
PUTRA SEGAR II COSMETIC
"BUNDA KAMAL,AP"
"KARTINI, RS"
"FAHIRA FARMA, AP"
IDM LBK BANTEN - G157
"MULTATULI, APT"
"MITRA,AP"
"ADJIDARMO, RS"
"AMANAH, APT"
"MAYESTIK,AP"
"GAMA RANGKAS, APT"
"MEDIKA, APT"
"MALINGPING (RSUD), RS"
"WIJAYA MEDICAL, APT"
"APOTEK TIAZHA FARMA, AP"
KLINIK PRITA MEDIKA
"KARTINI, APT"
JAYA RAYA COSMETIK
"APOTEK PASAR BARU, AP"
"AMORA,AP"
"KEZIA, TK"
"SARI FARMA, APT"
"JANGKAR FARMA, AP"
"WIJAYA MEDICAL ONA, AP"
"AP.PARI, APT"
"AP.BERKAH 3 PUTRI, APT"
"AP.ACC FARMA, APT"
"RS. ANDALUCIA, RS"
"AP. PRIMA SEHAT, APT"
"RS. BHAYANGKARA POLDA BANTEN, RS"
"AKBAR FARMA, APT"
"AP.GAMA LABUAN, APT"
